"OriginalOrder","ID","Name","Grade","Value"
"1173","55085","""Amber Heard""","0.52597999","1"
"1174","55751","""Kristin Kreuk""","0.12764201","1"
"1175","57906","""Andrew Dice Clay""","0.20423389","1"
"1176","10681","""Wayne Newton""","0.20423389","1"
"1177","12949","""Priscilla Presley""","0.86930411","1"
"1178","90451","""Tom Sturridge""","0.36348784","1"
"1181","27428","""Aaron Taylor-Johnson""","0.96188903","1"
"1183","985041","""Ninja""","1.04399548","1"
"1185","58058","""Lochlyn Munro""","1.125","1"
"1186","54634","""Chandra West""","1.125","1"
"1187","33355","""Steve Bacic""","1.125","1"
"1189","1980","""Mary McCormack""","0.94679598","1"
"1190","66804","""Gregory Hines""","0.25928721","1"
"1192","52763","""Aamir Khan""","0.11502151","1"
"1193","53372","""Nandita Das""","0.00528972","1"
"1194","53373","""Maia Sethna""","0.00528972","1"
"1195","28472","""Adam Garcia""","1.13916474","1"
"1196","6197","""Brian Dennehy""","1.25212904","1"
"1197","1190206","""Donatas Banionis""","0.3","1"
"1198","1190211","""Natalya Bondarchuk""","0.3","1"
"1199","8474","""Juri Jurvet""","0.3","1"
"1200","15903","""George Carlin""","0.40485039","1"
"1201","43120","""Andy Dick""","0.38085778","1"
"1202","47722","""George Cole""","0.12379402","1"
"1204","38560","""Lou Diamond Phillips""","1.00860818","1"
"1205","3359","""Laurence Olivier""","0.19","1"
"1206","14061","""Jacqueline Bisset""","0.052000000000000005","1"
"1211","70785","""Anita Briem""","1.0170206","1"
"1214","52601","""Sean Hayes""","1.75372502","1"
"1215","29459","""Patrick Bergin""","1.78051587","1"
"1216","6352","""Jane Fonda""","1.54749918","1"
"1217","15424","""Michael Vartan""","1.54749918","1"
"1218","17142","""Paul Dano""","1.22126687","1"
"1221","4566","""Alan Rickman""","1.40767956","1"
"1222","35768","""James DeBello""","1.41220678","1"
"1223","10822","""Stephen Dorff""","1.3118353","1"
"1224","10689","""Rob Brown""","0.80049764","1"
"1225","52037","""Robert Ri'chard""","0.76669806","1"
"1226","17358","""Kim Staunton""","0.94935764","1"
"1229","25129","""Don Johnson""","0.53854588","1"
"1231","40174","""Lucille Ball""","0.72","1"
"1232","4958","""Henry Fonda""","0.72","1"
"1233","37446","""Van Johnson""","0.72","1"
"1234","61114","""Kate Walsh""","0.56070433","1"
"1235","77330","""Kenan Thompson""","0.62022014","1"
"1236","77799","""Shedrack Anderson III""","0.486","1"
"1237","31135","""Jermaine Williams""","0.486","1"
"1238","63234","""Wendi McLendon-Covey""","1.2349461000000002","1"
"1239","16327","""Timothy Hutton""","0.92913171","1"
"1240","69301","""Hal Scardino""","0.35700000000000004","1"
"1241","69302","""Litefoot""","0.35700000000000004","1"
"1242","32225","""Lindsay Crouse""","0.35700000000000004","1"
"1243","326","""Kim Basinger""","1.6","1"
"1245","6677","""Kyle MacLachlan""","0.34416893","1"
"1246","12513","""Francesca Annis""","0.3092569000000001","1"
"1247","12514","""Leonardo Cimino""","0.3092569000000001","1"
"1248","38941","""Jim Sturgess""","0.69823199","1"
"1249","29234","""Joe Anderson""","0.5495614000000001","1"
"1250","4239","""Yasiin Bey""","0.65664721","1"
"1251","59373","""Melanie Thierry""","0.72108608","1"
"1252","35689","""Keenen Ivory Wayans""","0.29392418","1"
"1254","86653","""Carter Jenkins""","0.57881056","1"
"1255","86654","""Austin Butler""","0.57881056","1"
"1256","58478","""Kevin Nealon""","0.57881056","1"
"1257","1954","""Billy Zane""","0.27899999999999997","1"
"1259","4515","""Treat Williams""","0.281211","1"
"1261","6280","""Powers Boothe""","0.13681765","1"
"1262","19498","""Jon Bernthal""","0.60222298","1"
"1263","16293","""Anthony Heald""","0.11203026","1"
"1264","15543","""Derek Luke""","0.90508336","1"
"1265","10964","""Laz Alonso""","0.09323833","1"
"1266","74747","""Shahkrit Yamnarm""","0.4248739","1"
"1267","66762","""Charlie Yeung""","0.4248739","1"
"1268","9657","""Patrick Warburton""","0.08493889999999997","1"
"1269","50994","""Unax Ugalde""","0.23321954","1"
"1270","6952","""Charlie Sheen""","1.38530565","1"
"1271","76669","""Wayne Brady""","0.001","1"
"1272","5958","""Hilary Duff""","0.70067909","1"
"1275","114144","""Gio Perez""","1.36","1"
"1277","33923","""Mel Blanc""","0.843","1"
"1278","67369","""Don Brodie""","0.843","1"
"1279","13819","""Walter Catlett""","0.843","1"
"1280","100","""Scott Speedman""","1.641","1"
"1281","2220","""Tony Curran""","1.11340801","1"
"1282","382","""Bob Hoskins""","0.89519773","1"
"1285","58370","""Amanda Crew""","0.48190704","1"
"1290","59153","""Robin Givens""","0.701","1"
"1291","76961","""Demien Bichir""","1.5867418","1"
"1292","3635","""Elizabeth Taylor""","0.71","1"
"1293","5341","""Richard Burton""","0.71","1"
"1294","35321","""Rex Harrison""","0.72070731","1"
"1295","31903","""Henry Winkler""","0.73100172","1"
"1296","15852","""Ashley Judd""","1.77841558","1"
